n,prim_time,kruskal_time
1000,2.469,31.665
2000,12.954,195.960
3000,16.578,316.428
4000,25.624,593.317
5000,43.306,984.877
6000,59.222,1357.042
7000,104.031,2383.122
8000,118.234,2779.282
9000,115.721,3036.316
10000,186.089,4192.245
11000,195.821,4624.218
12000,242.835,5436.857
13000,279.334,6402.269
14000,321.238,7220.569
15000,385.356,8951.080
16000,450.098,9788.850
17000,505.993,11146.229
18000,556.478,12001.018
19000,568.828,12541.967
20000,636.204,13831.320
