n,k,algorithm,avg_comparisons,avg_swaps
8100,1,randomized,16454.78,8382.64
8100,1,deterministic,63184.02,36405.76
8200,1,randomized,16409.9,8235.68
8200,1,deterministic,63586.18,36674.22
8300,1,randomized,15924.3,7650.2
8300,1,deterministic,65099.7,37477.84
8400,1,randomized,17021.72,8649.34
8400,1,deterministic,65249.5,37591.52
8500,1,randomized,17582.86,9111.42
8500,1,deterministic,66162.1,38109.56
8600,1,randomized,15897.0,7322.66
8600,1,deterministic,67366.74,38832.6
8700,1,randomized,18022.64,9349.5
8700,1,deterministic,68103.84,39257.42
8800,1,randomized,15901.04,7128.14
8800,1,deterministic,68856.68,39675.24
8900,1,randomized,17548.34,8676.88
8900,1,deterministic,69589.72,40113.54
9000,1,randomized,17297.56,8328.02
9000,1,deterministic,70626.46,40736.48
9100,1,randomized,17663.9,8591.24
9100,1,deterministic,71104.92,40973.4
9200,1,randomized,19376.34,10206.9
9200,1,deterministic,72205.9,41610.94
9300,1,randomized,17773.52,8499.52
9300,1,deterministic,73172.16,42157.98
9400,1,randomized,19070.86,9700.46
9400,1,deterministic,73861.08,42594.48
9500,1,randomized,20872.24,11401.06
9500,1,deterministic,74410.88,42880.66
9600,1,randomized,19672.1,10097.98
9600,1,deterministic,75127.64,43271.34
9700,1,randomized,18506.56,8834.16
9700,1,deterministic,76117.58,43862.18
9800,1,randomized,19209.36,9436.78
9800,1,deterministic,76841.0,44248.44
9900,1,randomized,19705.88,9835.16
9900,1,deterministic,77569.48,44695.4
10000,1,randomized,21122.6,11151.28
10000,1,deterministic,78257.72,45032.72
10100,1,randomized,19586.5,9512.82
10100,1,deterministic,79158.0,45532.26
10200,1,randomized,20654.52,10482.48
10200,1,deterministic,79924.24,46000.14
10300,1,randomized,20706.9,10435.88
10300,1,deterministic,81075.34,46693.02
10400,1,randomized,18149.28,7778.68
10400,1,deterministic,81969.42,47212.94
10500,1,randomized,20590.36,10118.66
10500,1,deterministic,82329.92,47430.72
10600,1,randomized,21811.14,11241.96
10600,1,deterministic,82991.66,47813.24
10700,1,randomized,22623.68,11952.52
10700,1,deterministic,83978.74,48384.48
10800,1,randomized,21805.78,11032.94
10800,1,deterministic,84915.08,48882.62
10900,1,randomized,20218.98,9347.46
10900,1,deterministic,85757.24,49405.08
11000,1,randomized,19852.56,8881.22
11000,1,deterministic,86620.6,49889.02
11100,1,randomized,21641.18,10569.74
11100,1,deterministic,87492.06,50364.82
11200,1,randomized,24312.3,13140.8
11200,1,deterministic,88182.46,50721.96
11300,1,randomized,24004.56,12734.0
11300,1,deterministic,88791.5,51169.7
11400,1,randomized,19971.3,8598.92
11400,1,deterministic,89480.76,51511.2
11500,1,randomized,21397.06,9925.36
11500,1,deterministic,90943.3,52365.62
11600,1,randomized,24306.14,12735.06
11600,1,deterministic,91464.54,52640.6
11700,1,randomized,22622.4,10950.86
11700,1,deterministic,92063.84,53011.2
11800,1,randomized,23883.06,12111.26
11800,1,deterministic,92266.14,53135.8
11900,1,randomized,23220.62,11347.06
11900,1,deterministic,94095.82,54180.12
12000,1,randomized,22721.44,10748.26
12000,1,deterministic,94094.44,54219.52
12100,1,randomized,23629.78,11559.82
12100,1,deterministic,95109.88,54774.64
12200,1,randomized,23240.72,11068.58
12200,1,deterministic,96303.88,55442.82
12300,1,randomized,24386.36,12115.4
12300,1,deterministic,96674.36,55647.16
12400,1,randomized,24009.22,11638.64
12400,1,deterministic,97874.36,56377.56
12500,1,randomized,24829.46,12358.3
12500,1,deterministic,98759.7,56853.28
12600,1,randomized,27259.28,14687.58
12600,1,deterministic,99432.46,57243.88
12700,1,randomized,24427.52,11756.3
12700,1,deterministic,99604.22,57288.02
12800,1,randomized,25724.2,12953.42
12800,1,deterministic,101087.58,58171.44
12900,1,randomized,25324.3,12454.14
12900,1,deterministic,101580.08,58469.7
13000,1,randomized,25454.06,12483.56
13000,1,deterministic,102255.86,58821.08
13100,1,randomized,23957.28,10883.76
13100,1,deterministic,103631.16,59658.58
13200,1,randomized,26498.76,13327.42
13200,1,deterministic,104190.22,59967.4
13300,1,randomized,26209.22,12937.84
13300,1,deterministic,105297.72,60642.48
13400,1,randomized,28631.12,15262.06
13400,1,deterministic,105806.04,60898.84
13500,1,randomized,26078.82,12608.08
13500,1,deterministic,106616.7,61350.7
13600,1,randomized,29783.64,16213.36
13600,1,deterministic,107270.22,61756.92
13700,1,randomized,28979.26,15309.14
13700,1,deterministic,108241.28,62307.44
13800,1,randomized,27417.62,13647.02
