n,group_size,k,avg_comparisons,avg_swaps,avg_time_sec
4000,9,15,32346.933333333334,19870.466666666667,0.00978384812672933
4000,9,20,32489.9,19927.133333333335,0.009333300590515136
4000,9,30,32152.3,19751.566666666666,0.009645303090413412
5000,9,15,40807.76666666667,25049.666666666668,0.013104788462320964
5000,9,20,40665.833333333336,24923.433333333334,0.012636311848958333
5000,9,30,40857.7,25080.4,0.013088480631510416
6000,9,15,48895.63333333333,29975.466666666667,0.014990965525309244
6000,9,20,49251.76666666667,30187.9,0.01458756923675537
6000,9,30,48892.63333333333,29990.3,0.015630253156026206
7000,9,15,57420.9,35165.066666666666,0.017662731806437175
7000,9,20,57227.666666666664,35095.53333333333,0.018102081616719563
7000,9,30,57202.73333333333,35100.13333333333,0.017399311065673828
8000,9,15,65839.23333333334,40302.4,0.020740612347920736
8000,9,20,65594.76666666666,40163.23333333333,0.02141413688659668
8000,9,30,65915.3,40335.566666666666,0.02014288107554118
9000,9,15,74093.13333333333,45356.066666666666,0.024003465970357258
9000,9,20,73938.43333333333,45238.7,0.023611100514729817
9000,9,30,74247.93333333333,45417.96666666667,0.022196435928344728
10000,9,15,82769.36666666667,50585.5,0.027409791946411133
10000,9,20,82740.73333333334,50579.63333333333,0.02637206713358561
10000,9,30,82421.9,50423.166666666664,0.025771029790242515
11000,9,15,91188.33333333333,55776.73333333333,0.02881652514139811
11000,9,20,90865.26666666666,55559.9,0.028852256139119466
11000,9,30,90720.46666666666,55441.3,0.02975009282430013
12000,9,15,99277.5,60669.03333333333,0.032382082939147946
12000,9,20,99038.76666666666,60521.9,0.03255797227223714
12000,9,30,99294.6,60715.7,0.03196218013763428
13000,9,15,107609.2,65750.73333333334,0.03483524322509766
13000,9,20,107725.06666666667,65841.5,0.033429408073425294
13000,9,30,107505.0,65773.0,0.03318447271982829
14000,9,15,116396.56666666667,71153.13333333333,0.03568164507548014
14000,9,20,115916.26666666666,70842.13333333333,0.03725794156392415
14000,9,30,116058.0,70942.7,0.03706159591674805
15000,9,15,124179.63333333333,75952.3,0.03937810262044271
15000,9,20,125080.96666666666,76477.03333333334,0.03975385824839274
15000,9,30,124504.16666666667,76113.13333333333,0.03837927977244059
16000,9,15,133150.63333333333,81333.03333333334,0.04104359149932861
16000,9,20,132877.4,81172.76666666666,0.04252918561299642
16000,9,30,133165.23333333334,81400.7,0.041318511962890624
17000,9,15,141047.86666666667,86175.26666666666,0.04416782061258952
17000,9,20,141076.5,86182.0,0.043612249692281085
17000,9,30,141554.43333333332,86401.83333333333,0.04475525220235189
18000,9,15,149919.76666666666,91566.96666666666,0.047349047660827634
18000,9,20,149449.26666666666,91271.26666666666,0.048776825269063316
18000,9,30,150315.2,91822.56666666667,0.04747906525929769
19000,9,15,158462.36666666667,96775.6,0.05138677755991618
19000,9,20,158717.3,96830.43333333333,0.05055055618286133
19000,9,30,158646.66666666666,96786.4,0.050947952270507815
20000,9,15,166904.7,101862.76666666666,0.05362284183502197
20000,9,20,166902.63333333333,101831.26666666666,0.05247431596120199
20000,9,30,166198.3,101475.6,0.04945865472157796
21000,9,15,175686.86666666667,107250.9,0.05709623495737712
21000,9,20,175408.73333333334,106945.23333333334,0.05732800165812175
21000,9,30,175178.46666666667,106931.66666666667,0.057779335975646974
22000,9,15,183824.36666666667,112274.16666666667,0.05806333223978678
22000,9,20,183987.26666666666,112259.1,0.055506777763366696
22000,9,30,183955.56666666668,112260.56666666667,0.05313387711842855
23000,9,15,192028.66666666666,117134.0,0.05988870461781819
23000,9,20,192621.03333333333,117511.4,0.06063165664672852
23000,9,30,192775.06666666668,117656.06666666667,0.06445074876149495
24000,9,15,200805.26666666666,122576.16666666667,0.06159938971201579
24000,9,20,201215.13333333333,122792.73333333334,0.05941039721171061
24000,9,30,201223.0,122735.76666666666,0.05268523693084717
25000,9,15,208816.26666666666,127427.16666666667,0.0662746508916219
25000,9,20,209741.16666666666,127973.0,0.06748658021291097
25000,9,30,209249.63333333333,127674.93333333333,0.06642918586730957
26000,9,15,218255.2,133221.6,0.06649943192799886
26000,9,20,218410.7,133158.0,0.06087316672007243
26000,9,30,218114.5,133041.93333333332,0.05628491242726644
27000,9,15,226301.3,138093.96666666667,0.07266794045766195
27000,9,20,226051.5,137940.63333333333,0.07340149879455567
27000,9,30,225748.13333333333,137726.6,0.07126704057057699
28000,9,15,235612.93333333332,143673.23333333334,0.06882290840148926
28000,9,20,235432.3,143618.7,0.06252480347951253
28000,9,30,234851.0,143271.73333333334,0.05668102900187175
29000,9,15,243479.63333333333,148586.3,0.07883735497792561
29000,9,20,243677.86666666667,148626.63333333333,0.07886645793914795
29000,9,30,243587.7,148615.83333333334,0.07329208056131999
30000,9,15,251258.83333333334,153242.8,0.07088158130645753
30000,9,20,252207.33333333334,153808.93333333332,0.06407570044199626
30000,9,30,252284.96666666667,153882.03333333333,0.056247989336649575
31000,9,15,260662.53333333333,159012.03333333333,0.08388457298278809
31000,9,20,260285.1,158721.0,0.08290430704752604
31000,9,30,259376.06666666668,158130.23333333334,0.07717169920603434
32000,9,15,268244.3333333333,163520.9,0.07342344125111898
32000,9,20,268636.43333333335,163723.36666666667,0.06270790894826253
32000,9,30,268192.5333333333,163527.76666666666,0.061016178131103514
33000,9,15,277596.3333333333,169260.26666666666,0.08826996485392252
33000,9,20,277955.4,169500.3,0.08835048675537109
33000,9,30,277063.9666666667,168927.9,0.07964436213175456
34000,9,15,286000.2,174304.6,0.07350045839945475
34000,9,20,283402.2,172943.36666666667,0.06538373629252116
34000,9,30,286197.3333333333,174561.03333333333,0.061998693148295085
35000,9,15,295020.3,179873.2,0.09739332993825277
35000,9,20,294264.43333333335,179265.03333333333,0.09039293130238851
35000,9,30,294353.43333333335,179485.4,0.07949108282725016
36000,9,15,303201.56666666665,184876.3,0.07338947455088297
36000,9,20,302606.6666666667,184434.93333333332,0.06632158756256104
36000,9,30,303338.23333333334,184934.1,0.06226042111714681
37000,9,15,311030.56666666665,189595.06666666668,0.09800655047098795
37000,9,20,311991.13333333336,190075.43333333332,0.09352296193440755
37000,9,30,311069.86666666664,189594.1,0.08239574432373047
38000,9,15,319593.56666666665,194822.6,0.0773790677388509
38000,9,20,320486.9666666667,195399.86666666667,0.06755284468332927
38000,9,30,319223.8333333333,194487.06666666668,0.06333893934885661
39000,9,15,328766.9,200373.23333333334,0.10618167718251546
39000,9,20,328040.5333333333,200062.46666666667,0.09622042973836263
39000,9,30,328433.2,200266.83333333334,0.08256924152374268
40000,9,15,337128.56666666665,205405.3,0.07879154682159424
40000,9,20,336010.0333333333,204770.06666666668,0.06951934496561686
40000,9,30,336554.13333333336,205109.33333333334,0.06554438273111979
41000,9,15,344749.4666666667,210038.2,0.1074822187423706
41000,9,20,343684.06666666665,209555.3,0.10024446646372477
41000,9,30,345217.1,210349.46666666667,0.08631219069163004
42000,9,15,354442.0333333333,215925.56666666668,0.0798587163289388
42000,9,20,353813.63333333336,215503.7,0.07351887226104736
42000,9,30,352684.9,214959.6,0.06684231758117676
43000,9,15,362383.13333333336,220815.5,0.11166990598042806
43000,9,20,362099.9,220583.36666666667,0.10015882651011149
43000,9,30,362045.36666666664,220560.43333333332,0.08427727222442627
44000,9,15,371588.8333333333,226361.33333333334,0.08048181533813477
44000,9,20,371862.6,226459.73333333334,0.07173425356547038
44000,9,30,370634.8,225858.76666666666,0.0692321221033732
45000,9,15,379087.2,231165.66666666666,0.11810490290323893
45000,9,20,379433.8333333333,231261.36666666667,0.10393393039703369
45000,9,30,380179.13333333336,231663.86666666667,0.0899825652440389
46000,9,15,388087.5,236354.56666666668,0.08086114724477132
46000,9,20,389044.0,237054.96666666667,0.07468885580698649
46000,9,30,388766.3,236712.2,0.0717365026473999
47000,9,15,397091.26666666666,242104.0,0.11982621351877848
47000,9,20,396985.4,241894.3,0.10439966519673666
47000,9,30,396914.93333333335,241852.26666666666,0.09168817996978759
48000,9,15,405541.63333333336,247031.0,0.08436445395151775
48000,9,20,405979.4666666667,247303.06666666668,0.07679047584533691
48000,9,30,404299.4666666667,246302.16666666666,0.07483846346537272
49000,9,15,412847.5333333333,251548.86666666667,0.12168480555216471
49000,9,20,413509.93333333335,251768.2,0.10516900221506754
49000,9,30,413256.8333333333,251796.83333333334,0.09194502035776773
50000,9,15,421531.0333333333,256721.93333333332,0.08306920528411865
50000,9,20,421442.23333333334,256758.96666666667,0.07949887116750082
50000,9,30,422449.8,257317.9,0.07777268886566162
