n,group_size,k,avg_comparisons,avg_swaps,avg_time_sec
12000,3,20,99769.8,56267.9,0.03348403771718343
12000,3,30,99186.7,55897.1,0.033756192525227866
13000,3,15,106976.03333333334,60303.13333333333,0.037358792622884114
13000,3,20,107501.96666666666,60650.833333333336,0.03733132680257161
13000,3,30,107450.26666666666,60577.46666666667,0.0369762659072876
14000,3,15,116316.06666666667,65565.2,0.03860897223154704
14000,3,20,117079.46666666666,66030.4,0.039879433314005536
14000,3,30,116352.26666666666,65566.93333333333,0.04182155132293701
15000,3,15,124445.76666666666,70200.6,0.04241514205932617
15000,3,20,125464.53333333334,70702.33333333333,0.04344221750895182
15000,3,30,124198.63333333333,70014.0,0.04133888880411784
16000,3,15,132954.2,74823.86666666667,0.04565142790476481
16000,3,20,132082.86666666667,74428.3,0.04341457684834798
16000,3,30,134320.66666666666,75767.56666666667,0.04698650042215983
17000,3,15,141773.16666666666,79929.53333333334,0.04830860296885173
17000,3,20,140697.66666666666,79302.86666666667,0.05024043718973795
17000,3,30,141604.56666666668,79857.93333333333,0.04896810054779053
18000,3,15,150629.13333333333,84898.36666666667,0.05156631469726562
18000,3,20,149995.76666666666,84561.06666666667,0.051863638559977214
18000,3,30,150121.43333333332,84559.86666666667,0.04968833128611247
19000,3,15,157756.43333333332,88737.1,0.05665019353230794
19000,3,20,159970.56666666668,90043.3,0.05522972742716471
19000,3,30,159093.6,89555.33333333333,0.05520107746124268
20000,3,15,168030.33333333334,94672.46666666666,0.05823423067728679
20000,3,20,167968.36666666667,94530.23333333334,0.05856007734934489
20000,3,30,168020.8,94578.33333333333,0.05752236048380534
21000,3,15,175968.53333333333,99132.83333333333,0.060951852798461915
21000,3,20,175502.16666666666,98998.93333333333,0.05840656757354736
21000,3,30,175900.36666666667,99099.2,0.0579493522644043
22000,3,15,184945.43333333332,104265.56666666667,0.06408255100250244
22000,3,20,183585.03333333333,103372.6,0.06220412254333496
22000,3,30,183971.96666666667,103592.73333333334,0.06329878171284993
23000,3,15,193573.0,109000.7,0.0666411320368449
23000,3,20,193158.0,108811.63333333333,0.06659800211588542
23000,3,30,192917.5,108512.8,0.06652444998423258
24000,3,15,201961.06666666668,113695.9,0.0698252280553182
24000,3,20,202094.2,113867.2,0.06737057367960612
24000,3,30,201358.23333333334,113427.16666666667,0.06827724774678548
25000,3,15,210740.0,118575.6,0.07095045248667399
25000,3,20,210663.66666666666,118495.4,0.0730846087137858
25000,3,30,209431.93333333332,117863.06666666667,0.07106643517812093
26000,3,15,218627.83333333334,123079.66666666667,0.0722204049428304
26000,3,20,219342.7,123489.23333333334,0.07264352639516194
26000,3,30,218470.23333333334,123065.46666666666,0.07546796798706054
27000,3,15,227870.9,128205.53333333334,0.07932132879892985
27000,3,20,227013.86666666667,127815.86666666667,0.08156660397847494
27000,3,30,227646.96666666667,128157.33333333333,0.07859365145365398
28000,3,15,236806.26666666666,133444.46666666667,0.0799750804901123
28000,3,20,236564.83333333334,133275.6,0.08100154399871826
28000,3,30,236661.7,133352.9,0.07891414960225424
29000,3,15,243062.1,136914.36666666667,0.08649783929189046
29000,3,20,244914.8,137957.06666666668,0.08616782029469808
29000,3,30,243928.4,137360.53333333333,0.08125391801198324
30000,3,15,253184.53333333333,142560.86666666667,0.08894156614939372
30000,3,20,253240.06666666668,142574.46666666667,0.08722510337829589
30000,3,30,252239.03333333333,141995.43333333332,0.08581811587015788
31000,3,15,261297.9,147151.8,0.09094853401184082
31000,3,20,260645.73333333334,146676.8,0.09202130635579427
31000,3,30,262212.4666666667,147618.5,0.09105173746744792
32000,3,15,270541.06666666665,152169.13333333333,0.0923882007598877
32000,3,20,271623.93333333335,153015.43333333332,0.09258254369099934
32000,3,30,270332.93333333335,152126.73333333334,0.09037744998931885
33000,3,15,279420.63333333336,157359.63333333333,0.09816951751708984
33000,3,20,279244.13333333336,157072.36666666667,0.09501558939615885
33000,3,30,279522.73333333334,157403.7,0.09217143853505452
34000,3,15,287821.26666666666,161994.46666666667,0.0981943686803182
34000,3,20,287219.3333333333,161470.63333333333,0.09667684237162272
34000,3,30,288292.3333333333,162526.86666666667,0.09936978816986083
35000,3,15,295818.3333333333,166533.93333333332,0.10232345263163249
35000,3,20,296252.5,166567.0,0.10051461060841878
35000,3,30,296395.36666666664,166806.26666666666,0.1019206682840983
36000,3,15,304640.06666666665,171279.1,0.1034808079401652
36000,3,20,304574.43333333335,171454.13333333333,0.10422967274983724
36000,3,30,304070.8333333333,171023.5,0.10452433427174886
37000,3,15,313211.8333333333,176282.76666666666,0.1067195177078247
37000,3,20,312748.8333333333,175949.96666666667,0.10595777829488119
37000,3,30,312257.0,175687.4,0.10600113868713379
38000,3,15,321637.73333333334,180988.3,0.10959171454111735
38000,3,20,320186.93333333335,180051.93333333332,0.1092680295308431
38000,3,30,321520.5,180963.76666666666,0.10885390440622965
39000,3,15,329129.8,185037.23333333334,0.11406825383504232
39000,3,20,330858.8333333333,186094.16666666666,0.113404647509257
39000,3,30,330321.76666666666,185754.03333333333,0.1143713394800822
40000,3,15,339890.5,191141.43333333332,0.11924199263254802
40000,3,20,337540.13333333336,189821.16666666666,0.11357299486796062
40000,3,30,340353.73333333334,191553.36666666667,0.11235888799031575
41000,3,15,347663.26666666666,195413.06666666668,0.12170852025349935
41000,3,20,348011.2,195652.66666666666,0.12112050851186117
41000,3,30,348397.6666666667,195900.9,0.11693427562713624
42000,3,15,354958.86666666664,199791.26666666666,0.12042521635691325
42000,3,20,355275.9666666667,199751.8,0.11980607509613037
42000,3,30,355233.36666666664,199636.13333333333,0.11902282238006592
